knob,knob_value,knob_label,model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
freq,1h,1h（基准）,Toto2,False,False,29,15.117822404516765,4.40600125779813,21.721415701625514,7.669343274480815,73.86346949550101,21.68903834553337,4.986100900149843,1.5420903726627615,0.7825670498084292,0.12678461385267661,0.7418984755699253,0.0,0.0,0.0,0.18855218855218855
freq,15min,15min（联动等时长）,Naive,False,False,29,22.251634339080457,8.618375600497107,30.43193497159889,10.668174047710803,77.1703505346503,25.69738858517994,10.484447551938093,2.1285615371488946,0.9844348659003834,0.023963116742608953,1.0497351707809697,0.0,0.0,0.0,0.06435786435786436
freq,15min,15min（联动等时长）,SeasonalNaive,False,False,29,21.197379070881226,7.60926733182804,31.133249450388153,10.638417873445277,89.45827657533265,27.112261777658112,7.513563172807548,2.399713618371083,0.8521312260536398,0.1019419080291833,1.0,0.12195121951219512,0.12096774193548387,0.12295081967213115,0.12162162162162161
freq,15min,15min（联动等时长）,ETS,False,False,29,20.060699130886686,7.687755731939176,27.172106606441687,9.581378542267212,85.37081477258248,18.790712807604923,6.893694911583839,2.260570745502546,0.8659003831417624,0.14104060550378716,0.9463763922797421,0.19686800894854584,0.21674876847290642,0.18032786885245902,0.12733644859813084
freq,15min,15min（联动等时长）,Theta,False,False,29,20.28634608633403,8.007314512900596,27.919097503755676,9.99606403232541,81.48782524799047,19.250187486176426,6.942152269280254,2.2181596785251863,0.8612308429118773,0.14803596462785562,0.9570214326261364,0.23783783783783788,0.3492063492063492,0.18032786885245902,0.10198300283286117
freq,15min,15min（联动等时长）,RandomForest,False,False,29,21.838025175358432,7.603498417230689,30.227541076183265,10.090226664797237,76.87145822099697,25.885873880015986,10.270702292275113,3.7701056847650203,0.1483477011494253,0.08329788793450392,1.0302228922894179,0.0,0.0,0.0,0.0
freq,15min,15min（联动等时长）,LightGBM,False,False,29,20.310280279077098,7.006008388638449,28.239576456491314,9.453103969996727,75.38613183568417,27.279145070350445,9.156211690071435,3.4461554806312567,0.23084291187739459,0.11472156083132527,0.9581505435724961,0.0,0.0,0.0,0.0
freq,15min,15min（联动等时长）,XGBoost,False,False,29,20.792909195421004,6.5779447173289585,29.263500513688488,9.504288401979084,77.01135636780279,26.690552125835453,10.278371866676968,3.282900366351662,0.025263409961685825,0.016000218876033336,0.9809188733141145,0.0,0.0,0.0,0.0
freq,15min,15min（联动等时长）,TimesFM,False,False,29,15.844448540520167,5.200966256283933,23.751942669317216,8.930857890280844,78.40130318950743,21.57183833968656,5.290909884771853,1.89299847696873,0.7647270114942529,0.1255894704790105,0.7474720571603891,0.0,0.0,0.0,0.1348005502063274
freq,15min,15min（联动等时长）,Chronos2,False,False,29,15.607734796493903,5.167707645937684,23.536258270311695,8.698866983490237,77.17575539464664,20.480188502753208,5.157403881325652,1.7389811228823637,0.7595785440613029,0.15627967782332491,0.7363049339403568,0.0,0.0,0.0,0.1552941176470588
freq,15min,15min（联动等时长）,Toto,False,False,29,31.794346969437612,14.248290260528798,110.61272521902733,154.50687638782153,89.03487835745622,24.039402572918522,8.098897171292617,2.6836126052481504,0.780771072796935,0.14637603174710104,1.4999187806719656,0.04081632653061224,0.05405405405405406,0.03278688524590164,0.1668099742046432
freq,15min,15min（联动等时长）,Toto2,False,False,29,15.414804356650828,5.329327037730975,23.0303816879742,8.664326649963902,73.22623872347742,24.736477446767307,5.100723620103921,1.6952442966551704,0.809506704980843,0.1305562056018651,0.7272033162734772,0.0,0.0,0.0,0.15742128935532235
