knob,knob_value,knob_label,model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
context_len,336,336h(14天),Naive,False,False,29,22.258832614942524,8.790700464012083,29.78492148481186,10.555273173340582,76.74108270677587,25.07811460329354,10.064243390224021,4.185902226003441,0.9554597701149427,0.07406822487585671,1.0923394615389945,0.11267605633802817,0.1111111111111111,0.11428571428571428,0.08282582216808769
context_len,336,336h(14天),SeasonalNaive,False,False,29,20.377211845466157,7.241201672930021,28.541055815331887,9.47626411657616,88.40509505404253,26.52091889524784,7.979551194099407,3.7105946185960637,0.8773946360153256,0.09780673807538798,1.0,0.08695652173913045,0.08823529411764706,0.08571428571428572,0.10996563573883163
context_len,336,336h(14天),ETS,False,False,29,23.521100404065137,16.01875486282104,32.63184931939331,25.334134777416622,87.93362155650608,21.456428614321126,8.29127130646146,5.474643367848952,0.8778735632183907,0.15723552798072293,1.154284530309699,0.19753086419753085,0.17391304347826086,0.22857142857142856,0.13213213213213215
context_len,336,336h(14天),Theta,False,False,29,21.52511810536165,9.846667714472485,29.218074281909956,13.71340241923678,86.69269484292572,18.0818449888188,8.003112862890877,4.245733465241161,0.8687739463601531,0.1712176472912209,1.0563328422259544,0.189873417721519,0.17045454545454544,0.21428571428571427,0.12607449856733524
context_len,336,336h(14天),RandomForest,False,False,29,25.978428930901213,16.38532193389453,36.374539354517836,23.44780279701032,78.10297304126733,26.101150019264498,11.074358868507412,7.922280785284826,0.39415708812260547,0.17314261665519085,1.2748765202969268,0.09039548022598869,0.07476635514018691,0.11428571428571428,0.0990990990990991
context_len,336,336h(14天),LightGBM,False,False,29,33.72779336054938,43.31466225268047,53.88170992156027,87.97569695705518,82.28250968811918,26.00221252693811,14.524015821888176,20.87557139403102,0.6015325670498084,0.1792838893114295,1.6551721411314506,0.10191082802547773,0.09195402298850575,0.11428571428571428,0.09106830122591944
context_len,336,336h(14天),XGBoost,False,False,29,24.071575620120733,10.217260896154508,33.166676512283985,14.136869991730672,78.50975117029756,24.594733424768418,11.868881361099538,5.105000098965121,0.028735632183908046,0.021863433353473804,1.181298786245703,0.10344827586206896,0.08653846153846154,0.12857142857142856,0.11299435028248586
context_len,336,336h(14天),TimesFM,False,False,29,14.793706479769865,4.534964583956767,20.861925719525406,7.5495746798312,76.52970930733223,18.879326691165563,4.864557033613316,1.5845846932366658,0.789272030651341,0.13564550933523595,0.7259926722046325,0.0,0.0,0.0,0.21276595744680848
context_len,336,336h(14天),Chronos2,False,False,29,14.48032925803086,4.578024227543772,20.677300777362603,7.570207191417096,73.69227731568753,21.641206735724925,4.759834012576192,1.5629774627254964,0.7835249042145593,0.1379044248491585,0.7106138645387187,0.0,0.0,0.0,0.18618618618618615
context_len,336,336h(14天),Toto,False,False,29,23.68093665050407,10.042590465442315,43.6920041219294,28.066822348972853,83.33288514596467,22.629837967435062,6.375979772921347,2.3642676026823533,0.7701149425287358,0.14185464797381175,1.162128402555376,0.05454545454545454,0.075,0.04285714285714286,0.1994750656167979
context_len,720,720h(30天),Naive,False,False,29,22.258832614942524,8.790700464012083,29.78492148481186,10.555273173340582,76.74108270677587,25.07811460329354,12.864577217234796,3.4331742333236805,0.9760536398467433,0.06091231071105228,1.0923394615389945,0.11267605633802817,0.1111111111111111,0.11428571428571428,0.07356076759061835
context_len,720,720h(30天),SeasonalNaive,False,False,29,20.377211845466157,7.241201672930021,28.541055815331887,9.47626411657616,88.40509505404253,26.52091889524784,10.405316040331105,3.1803838144749137,0.9382183908045978,0.06819627398976079,1.0,0.08695652173913045,0.08823529411764706,0.08571428571428572,0.07081174438687392
context_len,720,720h(30天),ETS,False,False,29,37.970439063626955,30.013406313484534,58.15657640869214,56.40110553182273,89.91033270433061,23.155776380810575,14.58550615298869,10.208175679953595,0.9267241379310345,0.10788519598893742,1.8633775489788225,0.13333333333333333,0.08461538461538462,0.3142857142857143,0.07993850883935434
context_len,720,720h(30天),Theta,False,False,29,22.393072378109245,8.735540105833795,30.480890381623407,10.911655080911679,82.85659338198695,18.975402163654994,10.534974685180732,3.482165849365129,0.9468390804597702,0.09588357042387513,1.0989272010288105,0.136986301369863,0.10067114093959731,0.21428571428571427,0.07780320366132722
context_len,720,720h(30天),RandomForest,False,False,29,25.978428930901213,16.38532193389453,36.374539354517836,23.44780279701032,78.10297304126733,26.101150019264498,11.074358868507412,7.922280785284826,0.39415708812260547,0.17314261665519085,1.2748765202969268,0.09039548022598869,0.07476635514018691,0.11428571428571428,0.0990990990990991
context_len,720,720h(30天),LightGBM,False,False,29,33.72779336054938,43.31466225268047,53.88170992156027,87.97569695705518,82.28250968811918,26.00221252693811,14.524015821888176,20.87557139403102,0.6015325670498084,0.1792838893114295,1.6551721411314506,0.10191082802547773,0.09195402298850575,0.11428571428571428,0.09106830122591944
context_len,720,720h(30天),XGBoost,False,False,29,24.071575620120733,10.217260896154508,33.166676512283985,14.136869991730672,78.50975117029756,24.594733424768418,11.868881361099538,5.105000098965121,0.028735632183908046,0.021863433353473804,1.181298786245703,0.10344827586206896,0.08653846153846154,0.12857142857142856,0.11299435028248586
context_len,720,720h(30天),TimesFM,False,False,29,14.757594158886947,4.432448606613324,20.827940714382702,7.478946921730884,76.08305651974177,19.23233583440808,4.834843054093315,1.5311030576509728,0.7907088122605365,0.11745146516709026,0.7242204807411103,0.0,0.0,0.0,0.14937759336099585
context_len,720,720h(30天),Chronos2,False,False,29,14.737009494051927,4.543645015868964,21.05543155015542,7.37061896097649,73.22450749184871,21.025558389279944,4.874705470180754,1.5994241750788452,0.771551724137931,0.13409277486650586,0.7232103001044694,0.0,0.0,0.0,0.14814814814814814
context_len,720,720h(30天),Toto,False,False,29,23.72316154877059,7.8891421525329575,45.87437379872276,20.4210835786147,81.55864817760934,22.49308237005813,6.277893846270348,1.9253490051112008,0.7701149425287356,0.11967623231585517,1.1642005652529392,0.0594059405940594,0.0967741935483871,0.04285714285714286,0.2079510703363914
